analysis,feature_set,fold,features,fit_runs,threshold_runs,test_runs,threshold,precision,recall,f1,pr_auc,balanced_accuracy,mcc,normal_run_false_positive_rate,attacked_run_recall
leave_one_out,Without timing and context,2,211,360,120,120,0.6166666666666667,1.0,0.975,0.9873417721518988,0.9999999999999999,0.9875,0.9867719042739255,0.0,0.975
leave_one_out,Without timing and context,3,211,360,120,120,0.5444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
leave_one_out,Without timing and context,4,211,360,120,120,0.3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
leave_one_out,Without timing and context,5,211,360,120,120,0.5055555555555555,1.0,0.975,0.9873417721518988,1.0,0.9875,0.9867719042739255,0.0,0.975
leave_one_out,Without joint positions,1,156,360,120,120,0.5055555555555555,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
leave_one_out,Without joint positions,2,156,360,120,120,0.55,1.0,0.9875,0.9937106918238994,1.0000000000000002,0.99375,0.9934036219390009,0.0,0.9875
leave_one_out,Without joint positions,3,156,360,120,120,0.4666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
leave_one_out,Without joint positions,4,156,360,120,120,0.2722222222222222,0.9876543209876543,1.0,0.9937888198757764,0.9999999999999999,0.999671052631579,0.9934810256910079,0.025,1.0
leave_one_out,Without joint positions,5,156,360,120,120,0.5055555555555555,1.0,0.9625,0.9808917197452229,1.0,0.98125,0.9801041122822985,0.0,0.9625
leave_one_out,Without joint velocities,1,156,360,120,120,0.5944444444444444,1.0,0.9625,0.9808917197452229,1.0,0.98125,0.9801041122822985,0.0,0.9625
leave_one_out,Without joint velocities,2,156,360,120,120,0.5222222222222223,1.0,0.9875,0.9937106918238994,0.9999999999999999,0.99375,0.9934036219390009,0.0,0.9875
leave_one_out,Without joint velocities,3,156,360,120,120,0.4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
leave_one_out,Without joint velocities,4,156,360,120,120,0.25,0.9876543209876543,1.0,0.9937888198757764,1.0,0.999671052631579,0.9934810256910079,0.025,1.0
leave_one_out,Without joint velocities,5,156,360,120,120,0.5055555555555555,1.0,0.975,0.9873417721518988,1.0,0.9875,0.9867719042739255,0.0,0.975
leave_one_out,Without joint efforts,1,165,360,120,120,0.5833333333333334,1.0,0.95,0.9743589743589743,1.0,0.975,0.973399487199264,0.0,0.95
leave_one_out,Without joint efforts,2,165,360,120,120,0.5722222222222222,1.0,0.9875,0.9937106918238994,0.9999999999999999,0.99375,0.9934036219390009,0.0,0.9875
leave_one_out,Without joint efforts,3,165,360,120,120,0.5055555555555555,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
leave_one_out,Without joint efforts,4,165,360,120,120,0.2722222222222222,0.9876543209876543,1.0,0.9937888198757764,1.0,0.999671052631579,0.9934810256910079,0.0,1.0
leave_one_out,Without joint efforts,5,165,360,120,120,0.5277777777777778,1.0,0.975,0.9873417721518988,0.9998456790123457,0.9875,0.9867719042739255,0.0,0.975
leave_one_out,Without sampling context,1,216,360,120,120,0.5666666666666667,1.0,0.9625,0.9808917197452229,0.9999999999999999,0.98125,0.9801041122822985,0.0,0.9625
leave_one_out,Without sampling context,2,216,360,120,120,0.6444444444444445,1.0,0.9875,0.9937106918238994,0.9999999999999999,0.99375,0.9934036219390009,0.0,0.9875
leave_one_out,Without sampling context,3,216,360,120,120,0.42777777777777776,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,0.0,1.0
leave_one_out,Without sampling context,4,216,360,120,120,0.28888888888888886,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
leave_one_out,Without sampling context,5,216,360,120,120,0.5388888888888889,1.0,0.9625,0.9808917197452229,1.0,0.98125,0.9801041122822985,0.0,0.9625
leave_one_out,Without tracking residuals,1,205,360,120,120,0.5833333333333334,1.0,0.9625,0.9808917197452229,0.9999999999999999,0.98125,0.9801041122822985,0.0,0.9625
leave_one_out,Without tracking residuals,2,205,360,120,120,0.65,1.0,0.95,0.9743589743589743,1.0,0.975,0.973399487199264,0.0,0.95
leave_one_out,Without tracking residuals,3,205,360,120,120,0.49444444444444446,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
leave_one_out,Without tracking residuals,4,205,360,120,120,0.38333333333333336,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
leave_one_out,Without tracking residuals,5,205,360,120,120,0.4777777777777778,1.0,0.9875,0.9937106918238994,1.0,0.99375,0.9934036219390009,0.0,0.9875
