command_id,run_key,dataset_class,task_type,task_phase,pose_name,attack_severity,attack_target_object,attack_active,outer_fold,target_reference_deviation_l2_rad,final_position_reference_deviation_l2_rad,velocity_profile_reference_deviation_l2_rad_s,effort_profile_reference_deviation_l2_nm,proxy_time_reference_deviation_s,final_tracking_error_l2_rad,analysis_label,target_reference_deviation_l2_rad_normal_percentile,final_position_reference_deviation_l2_rad_normal_percentile,velocity_profile_reference_deviation_l2_rad_s_normal_percentile,effort_profile_reference_deviation_l2_nm_normal_percentile,proxy_time_reference_deviation_s_normal_percentile,final_tracking_error_l2_rad_normal_percentile,composite_impact_percentile
6051b9b140f9490d8910e779cb95007d,20260721_040634:13,command_injection,long_cube_then_cylinder_sort,cube_transport,long_cube_place_high,low,cube,1,4,0.05,0.05057863628044287,0.04392590511413101,0.22780040730404968,0.048926308000000196,0.0027173038606194,Command injection,100.0,99.84615384615385,95.8076923076923,56.11538461538461,75.34615384615385,15.538461538461537,73.77564102564104
902413948e634903814a2fd1fed7328c,20260721_040711:14,command_injection,short_cube_pick_place,cube_transport,long_cube_place_high,low,cube,1,4,0.05,0.048405608934957496,0.06169659440657827,0.2522626123549412,0.000330108500000037,0.0163322064497166,Command injection,100.0,99.84615384615385,96.6923076923077,57.269230769230774,60.69230769230769,62.69230769230769,79.53205128205128
2fc11c7d18de4067b420762cde92976e,20260721_041041:22,command_injection,long_cube_then_cylinder_sort,cylinder_transport,long_cylinder_place_high,high,cylinder,1,4,0.15000000000000002,0.14953452519830457,0.06157036863183033,0.4514335873652493,0.04889790599999988,0.0011581164556012,Command injection,100.0,100.0,96.6923076923077,65.96153846153847,75.34615384615385,5.0,73.83333333333333
d2b1854d34b240cb8573b437c5ef7d1e,20260721_041148:24,command_injection,long_cube_then_cylinder_sort,cube_transport,long_cube_place_high,high,cube,1,4,0.15,0.1481952674066486,0.044138599221014534,0.2397932831482085,0.0013189509999997906,0.0194186091056039,Command injection,100.0,100.0,95.8076923076923,56.80769230769231,74.07692307692308,71.38461538461539,83.01282051282051
b097e2343f4b48139974ec4535040314,20260721_041914:37,command_injection,long_cube_then_cylinder_sort,cylinder_transport,long_cylinder_place_high,medium,cylinder,1,4,0.09999999999999998,0.09803170302950354,0.01824814812302847,0.09355094254764358,0.0012689139999999544,0.0181431839343066,Command injection,100.0,99.96153846153845,88.84615384615384,40.26923076923077,74.07692307692308,68.03846153846153,78.53205128205128
6717b8c536a14c1cbdad932e80d06924,20260721_042700:38,command_injection,long_cube_then_cylinder_sort,cube_transport,long_cube_place_high,high,cube,1,4,0.15,0.1481819075728392,0.0442000561645197,0.2495267095140931,0.0012676379999998488,0.0168308376216079,Command injection,100.0,100.0,95.8076923076923,57.11538461538461,74.07692307692308,64.65384615384615,81.9423076923077
b3e79b663f0c4530809aad4e0eee0798,20260721_042920:43,command_injection,short_cube_pick_place,cube_transport,long_cube_place_high,high,cube,1,4,0.15,0.14866513014706198,0.06101517717474934,0.34927671574593966,0.04969870949999999,0.0032984887358387,Command injection,100.0,100.0,96.65384615384616,61.0,82.07692307692308,17.692307692307693,76.23717948717949
55980604ae4849a8b8d8e7fafdb0a9e2,20260721_042939:44,command_injection,short_cube_pick_place,cube_transport,long_cube_place_high,medium,cube,1,4,0.1,0.09941650943929368,0.121550795100725,0.31151936230486077,0.0004745444999999515,0.0195363018470313,Command injection,100.0,99.96153846153845,97.88461538461539,59.73076923076923,68.5,71.53846153846153,82.93589743589743
5e172acf131147d3881f3b361193c9fc,20260721_043505:53,command_injection,long_cube_then_cylinder_sort,cylinder_transport,long_cylinder_place_high,medium,cylinder,1,4,0.09999999999999998,0.0982632115948286,0.018704702716184494,0.03238721630194935,0.0010332109999999783,0.0129630787637227,Command injection,100.0,99.96153846153845,88.88461538461539,19.192307692307693,73.84615384615385,49.15384615384615,71.83974358974358
e037c2619ee34861bd9503e018530cfb,20260721_043642:55,command_injection,short_cube_pick_place,cube_transport,long_cube_place_high,medium,cube,1,4,0.1,0.09880852700700471,0.12100767351798954,0.1458907301964308,0.00029069250000002267,0.0094385399358487,Command injection,100.0,99.96153846153845,97.84615384615385,49.11538461538461,56.99999999999999,36.42307692307693,73.39102564102564
