scenario_id,axis,held_out_value,feature_set,model,precision_mean,recall_mean,f1_mean,f1_std,balanced_accuracy_mean,mcc_mean,roc_auc_mean,pr_auc_mean,attack_event_recall_mean,attacked_run_alert_recall_mean,normal_run_false_positive_rate_mean
holdout_object_cylinder,object,cylinder,cyber_only,logistic_regression,0.0,0.0,0.0,0.0,0.49181890079619733,-0.014397810131896735,0.572348300414254,0.026257231951156944,0.0,0.09,0.285
holdout_object_cylinder,object,cylinder,cyber_only,random_forest,0.8794444444444445,0.3999326599326599,0.5259462365591399,0.16666047335006898,0.6992298652196512,0.5702833864824522,0.99640341006491,0.8612807968682137,0.3999326599326599,0.4132659932659933,0.02
holdout_object_cylinder,object,cylinder,fused,hist_gradient_boosting,0.8,0.1548989898989899,0.2579124579124579,0.15596895815772924,0.5774494949494949,0.3465527839242139,0.9930742091210742,0.7781076686621206,0.1548989898989899,0.1548989898989899,0.0
holdout_object_cylinder,object,cylinder,fused,logistic_regression,0.03333333333333333,0.02,0.025,0.05590169943749475,0.5076429932500799,0.016180035084650865,0.8176725725754354,0.09873055237903039,0.02,0.03,0.09
holdout_object_cylinder,object,cylinder,fused,random_forest,0.0,0.0,0.0,0.0,0.5,0.0,0.9910287268584508,0.7400183150694856,0.0,0.0,0.0
holdout_object_cylinder,object,cylinder,physical_only,hist_gradient_boosting,0.9,0.15373737373737373,0.2568627450980392,0.13390879277618725,0.5767386478569834,0.3593589245670315,0.9523907311942569,0.4273892406106136,0.15373737373737373,0.15373737373737373,0.005
holdout_object_cylinder,object,cylinder,physical_only,logistic_regression,0.0,0.0,0.0,0.0,0.49404019618417283,-0.01537816471433504,0.793158597848015,0.06751296947687588,0.0,0.09159090909090908,0.2
holdout_object_cylinder,object,cylinder,physical_only,random_forest,0.0,0.0,0.0,0.0,0.5,0.0,0.9881584443678468,0.6475127039925989,0.0,0.0,0.0
holdout_severity_high,severity,high,cyber_only,hist_gradient_boosting,0.9192820512820512,0.5083333333333334,0.6492021696948909,0.06495126131760628,0.7533660303994345,0.6739862620557655,0.9894503910392365,0.8208569175032533,0.5083333333333334,0.5145833333333334,0.015000000000000003
holdout_severity_high,severity,high,cyber_only,logistic_regression,0.3059975795650694,0.5625,0.3754947416230947,0.0711459645743605,0.7565469247083775,0.37697685191098806,0.7547967479674796,0.4318911208718063,0.5625,0.7458333333333333,0.585
holdout_severity_high,severity,high,cyber_only,random_forest,0.8929971988795519,0.46875,0.6137534311970402,0.037611747783714386,0.7334524125132555,0.6391526482615074,0.9909112650229762,0.8348260927543627,0.46875,0.46875,0.035
holdout_severity_high,severity,high,fused,hist_gradient_boosting,1.0,0.74375,0.852987012987013,0.009292750036362771,0.871875,0.8589163957181956,0.9945663220219159,0.9776779349511238,0.74375,0.74375,0.0
holdout_severity_high,severity,high,fused,logistic_regression,0.5398159650333564,0.47916666666666663,0.49885225063915406,0.06041059623813016,0.7331146164722517,0.48988093207320765,0.8055850676033934,0.3247433057440924,0.47916666666666663,0.7291666666666666,0.09
holdout_severity_high,severity,high,fused,random_forest,1.0,0.7270833333333334,0.8418371872030408,0.014269206725675413,0.8635416666666668,0.8489890536187714,0.9967880655708731,0.9300017170517085,0.7270833333333334,0.7270833333333334,0.0
holdout_severity_high,severity,high,physical_only,hist_gradient_boosting,1.0,0.7354166666666667,0.847412100095027,0.013558477019958068,0.8677083333333334,0.8539527246684834,0.9163420709614705,0.7789411804615511,0.7354166666666667,0.7354166666666667,0.0
holdout_severity_high,severity,high,physical_only,logistic_regression,0.5082071825145829,0.6125,0.5524835918345046,0.06912738072345423,0.7965787380699895,0.5410400998420579,0.820555794892188,0.405288677304355,0.6125,0.8479166666666667,0.21000000000000002
holdout_severity_high,severity,high,physical_only,random_forest,1.0,0.7166666666666666,0.8342857142857143,0.03129843185743802,0.8583333333333332,0.8425056740254651,0.9918880898727466,0.874610818653354,0.7166666666666666,0.7166666666666666,0.0
holdout_severity_low,severity,low,cyber_only,hist_gradient_boosting,0.9787114845938376,0.5797619047619047,0.727087196556262,0.032613019129456314,0.7896593899116227,0.7473592623122252,0.9840081474371374,0.8890459965332168,0.5797619047619047,0.5797619047619047,0.005
holdout_severity_low,severity,low,cyber_only,logistic_regression,0.3032403833631718,0.24345238095238092,0.2572714713239206,0.07515820094615182,0.6125669065711723,0.24522550780642205,0.8924291495575863,0.2343096038076396,0.24345238095238092,0.5300595238095238,0.125
holdout_severity_low,severity,low,cyber_only,random_forest,0.9318840579710145,0.6625,0.7706833431046837,0.04461278424309366,0.8304368502378223,0.7784063669487964,0.9927040102913299,0.9108578373700749,0.6625,0.6696428571428571,0.015000000000000003
holdout_severity_low,severity,low,fused,hist_gradient_boosting,1.0,0.4946428571428571,0.6306465166039634,0.2244233412581925,0.7473214285714286,0.6794320846037796,0.9947233035369424,0.9726245414284653,0.4946428571428571,0.4946428571428571,0.0
holdout_severity_low,severity,low,fused,logistic_regression,0.707070514450377,0.49940476190476196,0.5643118144604068,0.14805588080360502,0.7460506625950959,0.571846024089002,0.8490708169887142,0.5142489584709599,0.49940476190476196,0.5386904761904762,0.09
holdout_severity_low,severity,low,fused,random_forest,1.0,0.4648809523809524,0.6163809550938198,0.18576956760630758,0.7324404761904761,0.6638306583691451,0.9980416711560338,0.9488474621241499,0.4648809523809524,0.4648809523809524,0.0
holdout_severity_low,severity,low,physical_only,hist_gradient_boosting,1.0,0.4666666666666667,0.6250149850149851,0.14363580639588835,0.7333333333333333,0.6702127788850619,0.9714984429310258,0.8306356956624622,0.4666666666666667,0.4666666666666667,0.0
holdout_severity_low,severity,low,physical_only,logistic_regression,0.5555357142857142,0.4086309523809524,0.46610155195681513,0.11820998732303056,0.6992354558031906,0.46037005413156534,0.8837099830948683,0.4565192475466981,0.4086309523809524,0.49821428571428567,0.15
holdout_severity_low,severity,low,physical_only,random_forest,0.99,0.4211309523809524,0.5611449361449361,0.2241922671491998,0.7104526093733204,0.6190557002170163,0.995562203233502,0.9051952904632448,0.4211309523809524,0.4282738095238095,0.0
holdout_severity_medium,severity,medium,cyber_only,hist_gradient_boosting,0.8657142857142857,0.5047619047619047,0.6310115949213694,0.10724535860610993,0.7511662953866073,0.6501259011165226,0.9870228908367551,0.7571727588749747,0.5047619047619047,0.5630952380952381,0.01
holdout_severity_medium,severity,medium,cyber_only,logistic_regression,0.49378803659869275,0.7654761904761905,0.5875253401597756,0.10341672340737333,0.8690546134550587,0.5931837609101971,0.9664600951284233,0.5155679620808911,0.7654761904761905,0.8428571428571429,0.335
holdout_severity_medium,severity,medium,cyber_only,random_forest,0.9292307692307691,0.47619047619047616,0.627872729336144,0.026496241267830893,0.737485481997677,0.6577011439036043,0.9925250036730751,0.8101008382922,0.47619047619047616,0.4928571428571429,0.015000000000000003
holdout_severity_medium,severity,medium,fused,hist_gradient_boosting,1.0,0.7416666666666667,0.8515679442508711,0.012465884195120795,0.8708333333333333,0.857785357148939,0.9756184896935407,0.81634780928917,0.7416666666666667,0.7416666666666667,0.0
holdout_severity_medium,severity,medium,fused,logistic_regression,0.8057058823529412,0.5547619047619048,0.651468689959256,0.048995458484154965,0.7750291688118904,0.6573442785650246,0.772902851121341,0.6265492726925705,0.5547619047619048,0.5869047619047618,0.065
holdout_severity_medium,severity,medium,fused,random_forest,1.0,0.7416666666666667,0.8515679442508711,0.012465884195120768,0.8708333333333333,0.857785357148939,0.9869947230564018,0.8436245464229641,0.7416666666666667,0.7416666666666667,0.0
holdout_severity_medium,severity,medium,physical_only,hist_gradient_boosting,0.9800000000000001,0.7416666666666667,0.8437757364586632,0.01871866931585539,0.8705894308943091,0.8485948871502963,0.791641285006398,0.7578946125844712,0.7416666666666667,0.7416666666666667,0.01
holdout_severity_medium,severity,medium,physical_only,logistic_regression,0.6147619047619047,0.5,0.5443804698913057,0.05644840824652569,0.7446642787580228,0.5382828656542735,0.7788868660164809,0.5433165907390168,0.5,0.555952380952381,0.18
holdout_severity_medium,severity,medium,physical_only,random_forest,1.0,0.719047619047619,0.8359878419452886,0.0291235535786274,0.8595238095238095,0.8440726966354195,0.9492656171779841,0.7910167329700452,0.719047619047619,0.719047619047619,0.0
