held_out_attack,outer_fold,feature_set,model,threshold,precision,recall,f1,balanced_accuracy,roc_auc,pr_auc,false_positive_rate,attack_event_recall,attacked_run_recall,normal_run_false_positive_rate,tn,fp,fn,tp
denial_of_service,3,cyber_only,hist_gradient_boosting,0.97,0.0,0.0,0.0,0.5,0.52875,0.04431010149973765,0.0,0.0,0.0,0.0,760,0,20,0
denial_of_service,3,physical_only,logistic_regression,0.86,0.0,0.0,0.0,0.4888157894736842,0.5758552631578948,0.02881098163553361,0.02236842105263158,0.0,0.0,0.425,743,17,20,0
denial_of_service,3,physical_only,random_forest,0.675,0.0,0.0,0.0,0.5,0.9997368421052631,0.9916666666666669,0.0,0.0,0.0,0.0,760,0,20,0
denial_of_service,3,physical_only,hist_gradient_boosting,0.27,0.0,0.0,0.0,0.5,0.8635526315789475,0.12440131292542805,0.0,0.0,0.0,0.0,760,0,20,0
denial_of_service,3,fused,logistic_regression,0.845,0.0,0.0,0.0,0.49276315789473685,0.3876315789473684,0.02070604578834976,0.014473684210526316,0.0,0.0,0.275,749,11,20,0
denial_of_service,3,fused,random_forest,0.725,0.0,0.0,0.0,0.5,1.0,1.0000000000000002,0.0,0.0,0.0,0.0,760,0,20,0
denial_of_service,3,fused,hist_gradient_boosting,0.98,0.0,0.0,0.0,0.5,0.8747368421052631,0.3362732021656227,0.0,0.0,0.0,0.0,760,0,20,0
denial_of_service,4,cyber_only,logistic_regression,0.8,0.0,0.0,0.0,0.49736842105263157,0.31611842105263155,0.018150021025781872,0.005263157894736842,0.0,0.0,0.1,756,4,20,0
denial_of_service,4,cyber_only,random_forest,0.43,0.0,0.0,0.0,0.5,0.9679605263157895,0.4232474970770931,0.0,0.0,0.0,0.0,760,0,20,0
denial_of_service,4,cyber_only,hist_gradient_boosting,0.32,0.0,0.0,0.0,0.5,0.7328947368421053,0.07088535717714682,0.0,0.0,0.0,0.0,760,0,20,0
denial_of_service,4,physical_only,logistic_regression,0.905,0.0,0.0,0.0,0.4967105263157895,0.542828947368421,0.026912771172015612,0.006578947368421052,0.0,0.0,0.125,755,5,20,0
denial_of_service,4,physical_only,random_forest,0.51,0.0,0.0,0.0,0.5,0.9997368421052631,0.9897096908939016,0.0,0.0,0.0,0.0,760,0,20,0
denial_of_service,4,physical_only,hist_gradient_boosting,0.255,0.0,0.0,0.0,0.5,0.9053289473684211,0.1445180087962304,0.0,0.0,0.0,0.0,760,0,20,0
denial_of_service,4,fused,logistic_regression,0.9500000000000001,0.0,0.0,0.0,0.4986842105263158,0.31375,0.01876615894778314,0.002631578947368421,0.0,0.0,0.05,758,2,20,0
denial_of_service,4,fused,random_forest,0.465,0.0,0.0,0.0,0.5,0.9985526315789474,0.9427819674287068,0.0,0.0,0.0,0.0,760,0,20,0
denial_of_service,4,fused,hist_gradient_boosting,0.14500000000000002,0.0,0.0,0.0,0.4993421052631579,0.7251315789473685,0.22680439268318411,0.0013157894736842105,0.0,0.0,0.025,759,1,20,0
denial_of_service,5,cyber_only,logistic_regression,0.6900000000000001,0.0,0.0,0.0,0.48486842105263156,0.4230921052631579,0.02333136632021706,0.030263157894736843,0.0,0.05,0.55,737,23,20,0
denial_of_service,5,cyber_only,random_forest,0.325,0.0,0.0,0.0,0.5,0.9625657894736842,0.4127637211665475,0.0,0.0,0.0,0.0,760,0,20,0
denial_of_service,5,cyber_only,hist_gradient_boosting,0.055,0.0,0.0,0.0,0.4993421052631579,0.6224999999999999,0.04957241139337424,0.0013157894736842105,0.0,0.0,0.025,759,1,20,0
denial_of_service,5,physical_only,logistic_regression,0.865,0.0,0.0,0.0,0.4934210526315789,0.5747368421052632,0.028896500565580067,0.013157894736842105,0.0,0.0,0.25,750,10,20,0
denial_of_service,5,physical_only,random_forest,0.655,0.0,0.0,0.0,0.5,0.9983552631578948,0.9544596171802056,0.0,0.0,0.0,0.0,760,0,20,0
denial_of_service,5,physical_only,hist_gradient_boosting,0.99,0.0,0.0,0.0,0.5,0.8888157894736842,0.17529630796681764,0.0,0.0,0.0,0.0,760,0,20,0
denial_of_service,5,fused,logistic_regression,0.8300000000000001,0.0,0.0,0.0,0.4953947368421053,0.4688815789473685,0.024834109800209798,0.009210526315789473,0.0,0.0,0.175,753,7,20,0
