outer_fold,feature_set,model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
4,cyber_only,dummy_prior,0.95,0.2,0.19,0.2,0.19487179487179487,0.9256410256410257
4,cyber_only,logistic_regression,0.8425,0.9569736842105263,0.5483475030737437,0.9569736842105263,0.6113974798332091,0.8910349231347368
4,cyber_only,random_forest,1.0,1.0,1.0,1.0,1.0,1.0
4,cyber_only,hist_gradient_boosting,0.998125,0.9897368421052632,0.9816865162487283,0.9897368421052631,0.9851505519817465,0.9981464405946143
4,physical_only,dummy_prior,0.95,0.2,0.19,0.2,0.19487179487179487,0.9256410256410257
4,physical_only,logistic_regression,0.91375,0.7943421052631578,0.6527848101265823,0.7943421052631578,0.6762157418069776,0.9415702281285987
4,physical_only,random_forest,0.97875,0.6599999999999999,0.7822236586942469,0.6599999999999999,0.6888376124111371,0.9722991717734136
4,physical_only,hist_gradient_boosting,0.986875,0.79,0.789769820971867,0.79,0.7888120678818353,0.9868007542426147
4,fused,dummy_prior,0.95,0.2,0.19,0.2,0.19487179487179487,0.9256410256410257
4,fused,logistic_regression,0.933125,0.9859210526315788,0.7991869918699187,0.9859210526315788,0.8304659540936392,0.955202792434296
4,fused,random_forest,0.998125,0.97,0.9996060407091267,0.97,0.9835866099421802,0.998049910738869
4,fused,hist_gradient_boosting,0.998125,0.9897368421052632,0.9808207153829274,0.9897368421052631,0.9851684202922977,0.9981475573640237
5,cyber_only,dummy_prior,0.95,0.2,0.19,0.2,0.19487179487179487,0.9256410256410257
5,cyber_only,logistic_regression,0.8275,0.9439473684210526,0.5486120675544266,0.9439473684210526,0.5981608151363802,0.8817110357671295
5,cyber_only,random_forest,0.998125,0.9700000000000001,0.9902133783868343,0.97,0.9793359378626487,0.998092125307737
5,cyber_only,hist_gradient_boosting,0.99875,0.9800000000000001,0.9997371879106438,0.9800000000000001,0.989612097304405,0.9987343852728467
5,physical_only,dummy_prior,0.95,0.2,0.19,0.2,0.19487179487179487,0.9256410256410257
5,physical_only,logistic_regression,0.908125,0.7142105263157894,0.6147295742232451,0.7142105263157894,0.6347822649192512,0.9386464942971793
5,physical_only,random_forest,0.9775,0.64,0.7102882932670166,0.64,0.6572403729030235,0.9691139935115838
5,physical_only,hist_gradient_boosting,0.9875,0.8,0.8057508605019917,0.8,0.8019934342196755,0.9873163028909494
5,fused,dummy_prior,0.95,0.2,0.19,0.2,0.19487179487179487,0.9256410256410257
5,fused,logistic_regression,0.926875,0.9352631578947369,0.7979579368872795,0.9352631578947369,0.8104687425993593,0.95137077542986
5,fused,random_forest,0.998125,0.97,0.9996060407091267,0.97,0.9841483052407174,0.9980850166950276
