scenario_id,axis,held_out_value,outer_fold,feature_set,model,fit_runs,threshold_runs,test_runs,threshold,precision,recall,f1,balanced_accuracy,mcc,roc_auc,pr_auc,false_positive_rate,attack_event_recall,attacked_run_alert_recall,normal_run_false_positive_rate,tn,fp,fn,tp
holdout_object_cylinder,object,cylinder,2,cyber_only,hist_gradient_boosting,325,82,67,0.74,0.8,0.14814814814814814,0.25,0.5735564757303888,0.33803205018822424,0.9866574649183345,0.677165121336065,0.0010351966873706005,0.14814814814814814,0.18518518518518517,0.0,965,1,23,4
holdout_object_cylinder,object,cylinder,2,physical_only,logistic_regression,325,82,67,0.92,0.0,0.0,0.0,0.4968944099378882,-0.013034979957267288,0.7795797868261637,0.07827668640502064,0.006211180124223602,0.0,0.0,0.15,960,6,27,0
holdout_object_cylinder,object,cylinder,2,physical_only,random_forest,325,82,67,0.525,0.0,0.0,0.0,0.5,0.0,0.9898013955984971,0.7085998340047084,0.0,0.0,0.0,0.0,966,0,27,0
holdout_object_cylinder,object,cylinder,2,physical_only,hist_gradient_boosting,325,82,67,0.060000000000000005,1.0,0.1111111111111111,0.2,0.5555555555555556,0.32926814060505216,0.9541446208112875,0.4534263524936979,0.0,0.1111111111111111,0.1111111111111111,0.0,966,0,24,3
holdout_object_cylinder,object,cylinder,2,fused,logistic_regression,325,82,67,0.93,0.0,0.0,0.0,0.4984472049689441,-0.009203146787097731,0.7942642435396059,0.0943165613539035,0.003105590062111801,0.0,0.0,0.075,963,3,27,0
holdout_object_cylinder,object,cylinder,2,fused,random_forest,325,82,67,0.5750000000000001,0.0,0.0,0.0,0.5,0.0,0.9910666359941722,0.7560641421323275,0.0,0.0,0.0,0.0,966,0,27,0
holdout_object_cylinder,object,cylinder,2,fused,hist_gradient_boosting,325,82,67,0.43,1.0,0.2222222222222222,0.36363636363636365,0.6111111111111112,0.46636261624889636,0.9924852388620505,0.7595679357806409,0.0,0.2222222222222222,0.2222222222222222,0.0,966,0,21,6
holdout_object_cylinder,object,cylinder,3,cyber_only,logistic_regression,320,80,60,0.8400000000000001,0.0,0.0,0.0,0.4970588235294118,-0.011662253662548649,0.5671764705882353,0.026608733368265077,0.0058823529411764705,0.0,0.0,0.125,845,5,20,0
holdout_object_cylinder,object,cylinder,3,cyber_only,random_forest,320,80,60,0.34,0.8333333333333334,0.5,0.625,0.7488235294117647,0.6394574263250609,0.997,0.8879025720656157,0.002352941176470588,0.5,0.5,0.025,848,2,10,10
holdout_object_cylinder,object,cylinder,3,cyber_only,hist_gradient_boosting,320,80,60,0.20500000000000002,1.0,0.35,0.5185185185185185,0.675,0.5871351582816196,0.9875294117647059,0.7118139655919976,0.0,0.35,0.35,0.0,850,0,13,7
